,suburb,flat
0,Reservoir,0
1,Richmond,1
2,Brunswick,2
3,Bentleigh East,3
4,Coburg,4
5,Essendon,5
6,Preston,6
7,Hawthorn,7
8,Yarraville,8
9,Glenroy,9
10,Glen Iris,10
11,Pascoe Vale,11
12,Moonee Ponds,12
13,St Kilda,13
14,Kew,14
15,Carnegie,15
16,Footscray,16
17,South Yarra,17
18,Brighton,18
19,Northcote,19
20,Balwyn North,20
21,Elwood,21
22,Port Melbourne,22
23,Ascot Vale,23
24,Newport,24
25,Brighton East,25
26,Thornbury,26
27,Brunswick West,27
28,Camberwell,28
29,Malvern East,29
30,Prahran,30
31,Bentleigh,31
32,Keilor East,32
33,Maribyrnong,33
34,Kensington,34
35,Surrey Hills,35
36,Doncaster,36
37,Balwyn,37
38,Hawthorn East,38
39,Hampton,39
40,West Footscray,40
41,Williamstown,41
42,Fawkner,42
43,Sunshine West,43
44,Templestowe Lower,44
45,Maidstone,45
46,Ormond,46
47,Ivanhoe,47
48,Armadale,48
49,Brunswick East,49
50,Sunshine,50
51,North Melbourne,51
52,South Melbourne,52
53,Elsternwick,53
54,Toorak,54
55,Collingwood,55
56,Burwood,56
57,Fitzroy North,57
58,Moorabbin,58
59,Heidelberg Heights,59
60,Ashburton,60
61,Murrumbeena,61
62,Airport West,62
63,Seddon,63
64,Abbotsford,64
65,Craigieburn,65
66,Niddrie,66
67,Hadfield,67
68,Flemington,68
69,Oak Park,69
70,Malvern,70
71,Fitzroy,71
72,Altona,72
73,Albert Park,73
74,Melbourne,74
75,Bulleen,75
76,Werribee,76
77,Box Hill,77
78,Strathmore,78
79,Ashwood,79
80,Coburg North,80
81,Altona North,81
82,Fairfield,82
83,Braybrook,83
84,Avondale Heights,84
85,Windsor,85
86,Epping,86
87,Watsonia,87
88,Oakleigh South,88
89,Canterbury,89
90,Rosanna,90
91,Oakleigh,91
92,Aberfeldie,92
93,Sunshine North,93
94,Heidelberg West,94
95,Clifton Hill,95
96,Caulfield South,96
97,Kingsville,97
98,Hughesdale,98
99,Chadstone,99
100,Sunbury,100
101,Mount Waverley,101
102,Mill Park,102
103,Heidelberg,103
104,Southbank,104
105,Albion,105
106,Glen Waverley,106
107,Kew East,107
108,Viewbank,108
109,Cheltenham,109
110,Carlton,110
111,West Melbourne,111
112,Caulfield North,112
113,Lalor,113
114,Greensborough,114
115,Gowanbrae,115
116,Eaglemont,116
117,Middle Park,117
118,Spotswood,118
119,Bundoora,119
120,Doncaster East,120
121,Jacana,121
122,Croydon,122
123,Sandringham,123
124,Mont Albert,124
125,Yallambie,125
126,Alphington,126
127,Mitcham,127
128,Mulgrave,128
129,Hoppers Crossing,129
130,Balaclava,130
131,Ivanhoe East,131
132,Carlton North,132
133,Meadow Heights,133
134,South Morang,134
135,Keilor Park,135
136,Cremorne,136
137,St Albans,137
138,Parkdale,138
139,Essendon West,139
140,Dingley Village,140
141,Mentone,141
142,Hampton East,142
143,Ferntree Gully,143
144,Thomastown,144
145,South Kingsville,145
146,Eltham,146
147,Seaford,147
148,Essendon North,148
149,Hillside,149
150,Highett,150
151,Wantirna South,151
152,Greenvale,152
153,Bayswater,153
154,Point Cook,154
155,Melton,155
156,Parkville,156
157,Ringwood East,157
158,Broadmeadows,158
159,Templestowe,159
160,Williamstown North,160
161,Frankston South,161
162,Roxburgh Park,162
163,Melton South,163
164,Blackburn,164
165,Boronia,165
166,Kealba,166
167,Nunawading,167
168,Frankston,168
169,Eltham North,169
170,Vermont,170
171,Donvale,171
172,Mordialloc,172
173,Glen Huntly,173
174,Forest Hill,174
175,Keilor Downs,175
176,Carrum Downs,176
177,Ringwood,177
178,Tarneit,178
179,Noble Park,179
180,Berwick,180
181,Clayton,181
182,Tullamarine,182
183,Heathmont,183
184,Dandenong North,184
185,Rowville,185
186,Oakleigh East,186
187,East Melbourne,187
188,Blackburn South,188
189,Keysborough,189
190,Taylors Hill,190
191,Melton West,191
192,Edithvale,192
193,Bellfield,193
194,Montmorency,194
195,Travancore,195
196,Caroline Springs,196
197,Burwood East,197
198,Mooroolbark,198
199,Kingsbury,199
200,Wheelers Hill,200
201,Blackburn North,201
202,Gladstone Park,202
203,Keilor,203
204,Beaumaris,204
205,Taylors Lakes,205
206,Gisborne,206
207,Scoresby,207
208,Burnley,208
209,Briar Hill,209
210,Brooklyn,210
211,Westmeadows,211
212,Kings Park,212
213,Vermont South,213
214,Croydon North,214
215,Bayswater North,215
216,Deer Park,216
217,Diamond Creek,217
218,Delahey,218
219,Frankston North,219
220,Carrum,220
221,Caulfield,221
222,Gardenvale,222
223,Black Rock,223
224,Bonbeach,224
225,Doveton,225
226,Chelsea Heights,226
227,Sydenham,227
228,Endeavour Hills,228
229,Watsonia North,229
230,Kurunjang,230
231,Cairnlea,231
232,Clayton South,232
233,Huntingdale,233
234,Aspendale,234
235,Wollert,235
236,Chelsea,236
237,Mernda,237
238,Kilsyth,238
239,Dandenong,239
240,Wyndham Vale,240
241,Clarinda,241
242,Ripponlea,242
243,Strathmore Heights,243
244,Altona Meadows,244
245,Ringwood North,245
246,Coolaroo,246
247,Springvale,247
248,Burnside Heights,248
249,Ardeer,249
250,Caulfield East,250
251,Narre Warren,251
252,Croydon Hills,252
253,Doreen,253
254,Seaholme,254
255,St Helena,255
256,Hampton Park,256
257,Pakenham,257
258,Mount Evelyn,258
259,Wantirna,259
260,Princes Hill,260
261,Notting Hill,261
262,Albanvale,262
263,Truganina,263
264,Langwarrin,264
265,North Warrandyte,265
266,Dallas,266
267,Riddells Creek,267
268,Waterways,268
269,Yarra Glen,269
270,Sandhurst,270
271,Hurstbridge,271
272,McKinnon,272
273,Williams Landing,273
274,Diggers Rest,274
275,The Basin,275
276,Cranbourne North,276
277,Healesville,277
278,Springvale South,278
279,Hallam,279
280,Beaconsfield Upper,280
281,Wallan,281
282,Skye,282
283,Montrose,283
284,Deepdene,284
285,Knoxfield,285
286,Emerald,286
287,Plumpton,287
288,Campbellfield,288
289,Cranbourne,289
290,Brookfield,290
291,Seabrook,291
292,Whittlesea,292
293,Beaconsfield,293
294,Lower Plenty,294
295,Burnside,295
296,Kooyong,296
297,Warrandyte,297
298,Derrimut,298
299,Chirnside Park,299